INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162061983,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,247,,08/02/2016 09:45:00 PM,21,2016,8,Tuesday,Part Two,DORCHESTER AVE,42.31322413,-71.05715277,"(42.31322413, -71.05715277)"
I162005403,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,26,,01/20/2016 05:09:00 PM,17,2016,1,Wednesday,Part Two,CENTRAL SQ,42.37544753,-71.03927482,"(42.37544753, -71.03927482)"
I162066947,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,440,,08/18/2016 06:11:00 PM,18,2016,8,Thursday,Part Two,TALBOT AVE,42.29453954,-71.0866989,"(42.29453954, -71.0866989)"
I162013412,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,76,,02/20/2016 01:03:00 AM,1,2016,2,Saturday,Part Two,CAUSEWAY ST,42.3655824,-71.0608703,"(42.3655824, -71.0608703)"
I162044668,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,582,,06/06/2016 06:10:00 PM,18,2016,6,Monday,Part One,CREIGHTON ST,42.32348445,-71.10813006,"(42.32348445, -71.10813006)"
I162072256,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,641,,09/05/2016 12:00:00 AM,0,2016,9,Monday,Part One,CENTRE ST,42.31495383,-71.11410163,"(42.31495383, -71.11410163)"
I162048273,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,522,,06/17/2016 10:34:00 PM,22,2016,6,Friday,Part One,HYDE PARK AVE,42.25052875,-71.12600162,"(42.25052875, -71.12600162)"
I162058491,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,266,,07/20/2016 03:00:00 PM,15,2016,7,Wednesday,Part One,WINTHROP ST,42.32424069,-71.07761917,"(42.32424069, -71.07761917)"
I162002905,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A15,900,,01/10/2016 09:00:00 PM,21,2016,1,Sunday,Part Two,DECATUR ST,42.37829205,-71.05387024,"(42.37829205, -71.05387024)"
I162009458,01402,Vandalism,VANDALISM,A1,88,,02/03/2016 12:00:00 PM,12,2016,2,Wednesday,Part Two,BAKERS ALY,42.36340198,-71.05387906,"(42.36340198, -71.05387906)"
I162020273,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,330,,03/15/2016 05:18:00 PM,17,2016,3,Tuesday,Part Two,COLUMBIA RD,42.30352079,-71.08404465,"(42.30352079, -71.08404465)"
I162010574,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,131,,02/09/2016 01:00:00 AM,1,2016,2,Tuesday,Part Two,BEACON ST,42.35505244,-71.07390742,"(42.35505244, -71.07390742)"
I162029234,00801,Simple Assault,ASSAULT - SIMPLE,B3,435,,04/15/2016 12:30:00 PM,12,2016,4,Friday,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I162044231,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,634,,06/04/2016 05:00:00 PM,17,2016,6,Saturday,Part One,MORAINE ST,42.31973262,-71.11275984,"(42.31973262, -71.11275984)"
I162064923,00560,Other Burglary,BURGLARY - OTHER - FORCE,B2,281,,08/12/2016 12:00:00 PM,12,2016,8,Friday,Part One,DUDLEY ST,42.32853529,-71.08213874,"(42.32853529, -71.08213874)"
I162051942,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,687,,06/29/2016 10:40:00 PM,22,2016,6,Wednesday,Part One,COLBERG AVE,42.28575792,-71.14082892,"(42.28575792, -71.14082892)"
I162019493,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,254,,03/12/2016 08:34:00 PM,20,2016,3,Saturday,Other,FREEPORT ST,42.30468252,-71.05627865,"(42.30468252, -71.05627865)"
I162054866,01402,Vandalism,VANDALISM,C11,369,,07/10/2016 02:39:00 PM,14,2016,7,Sunday,Part Two,TILESBORO ST,42.29456692,-71.05049433,"(42.29456692, -71.05049433)"
I162055941,01402,Vandalism,VANDALISM,A15,47,,07/13/2016 08:00:00 PM,20,2016,7,Wednesday,Part Two,BUNKER HILL ST,42.38155265,-71.06786324,"(42.38155265, -71.06786324)"
I162038499,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,936,,05/17/2016 02:16:00 PM,14,2016,5,Tuesday,Part Two,CROWLEY-ROGERS WAY,42.33985505,-71.05439202,"(42.33985505, -71.05439202)"
I162028755,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,398,,04/13/2016 06:44:00 PM,18,2016,4,Wednesday,Part One,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I162076983,01402,Vandalism,VANDALISM,,,,09/20/2016 02:30:00 PM,14,2016,9,Tuesday,Part Two,,42.2737185,-71.1086519,"(42.2737185, -71.1086519)"
I162032357,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,464,,04/26/2016 12:12:00 PM,12,2016,4,Tuesday,Part One,BLUE HILL AVE,42.29171816,-71.08911807,"(42.29171816, -71.08911807)"
I162087007,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,,,10/23/2016 11:52:00 PM,23,2016,10,Sunday,Part One,,,,"(0E-8, 0E-8)"
I162063154,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,432,,08/06/2016 06:14:00 PM,18,2016,8,Saturday,Part Two,CALLENDER ST,42.28848287,-71.08259001,"(42.28848287, -71.08259001)"
I162001668,00301,Robbery,ROBBERY - STREET,E18,485,,01/07/2016 12:12:00 AM,0,2016,1,Thursday,Part One,RIVER ST,42.26361661,-71.10332183,"(42.26361661, -71.10332183)"
I162026027,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,430,,04/04/2016 11:40:00 AM,11,2016,4,Monday,Other,BALSAM ST,42.28678038,-71.08807812,"(42.28678038, -71.08807812)"
I162015706,01402,Vandalism,VANDALISM,D4,598,,02/28/2016 01:48:00 AM,1,2016,2,Sunday,Part Two,DALTON ST,42.3470248,-71.08516365,"(42.3470248, -71.08516365)"
