INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162075084,00561,Other Burglary,BURGLARY - OTHER - ATTEMPT,D14,791,,09/14/2016 03:01:00 PM,15,2016,9,Wednesday,Part One,ALLSTON ST,42.34367382,-71.14138507,"(42.34367382, -71.14138507)"
I162026332,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E18,940,,04/05/2016 02:48:00 PM,14,2016,4,Tuesday,Part One,GARFIELD AVE,42.24235156,-71.12079258,"(42.24235156, -71.12079258)"
I162079657,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,237,,09/29/2016 10:04:00 AM,10,2016,9,Thursday,Part One,EASTMAN ST,42.3198604,-71.0643412,"(42.3198604, -71.0643412)"
I162057342,00301,Robbery,ROBBERY - STREET,A1,61,,07/18/2016 09:41:00 PM,21,2016,7,Monday,Part One,FLEET CENTER PL,42.36646326,-71.06067801,"(42.36646326, -71.06067801)"
I162038555,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,05/17/2016 05:37:00 PM,17,2016,5,Tuesday,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.0741278)"
I162030133,00617,Larceny,LARCENY THEFT FROM BUILDING,C6,200,,02/20/2016 12:00:00 AM,0,2016,2,Saturday,Part One,W BROADWAY,42.34234193,-71.05633276,"(42.34234193, -71.05633276)"
I162048048,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C6,225,,06/16/2016 07:30:00 PM,19,2016,6,Thursday,Part One,H ST,42.33425145,-71.04152445,"(42.33425145, -71.04152445)"
I162006467,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,244,,01/24/2016 09:30:00 PM,21,2016,1,Sunday,Part One,DORCHESTER AVE,42.31587074,-71.05668311,"(42.31587074, -71.05668311)"
I162044668,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,582,,06/06/2016 06:10:00 PM,18,2016,6,Monday,Part One,CREIGHTON ST,42.32348445,-71.10813006,"(42.32348445, -71.10813006)"
I162072256,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,641,,09/05/2016 12:00:00 AM,0,2016,9,Monday,Part One,CENTRE ST,42.31495383,-71.11410163,"(42.31495383, -71.11410163)"
I162048273,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,522,,06/17/2016 10:34:00 PM,22,2016,6,Friday,Part One,HYDE PARK AVE,42.25052875,-71.12600162,"(42.25052875, -71.12600162)"
I162058491,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,266,,07/20/2016 03:00:00 PM,15,2016,7,Wednesday,Part One,WINTHROP ST,42.32424069,-71.07761917,"(42.32424069, -71.07761917)"
I162041140,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,627,,05/26/2016 11:02:00 AM,11,2016,5,Thursday,Part One,BROOKLINE AVE,42.34410718,-71.1018026,"(42.34410718, -71.1018026)"
I162032205,00613,Larceny,LARCENY SHOPLIFTING,D4,630,,04/25/2016 12:55:00 PM,12,2016,4,Monday,Part One,PARK DR,42.34797228,-71.10576965,"(42.34797228, -71.10576965)"
I162065072,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,453,Y,08/12/2016 11:38:00 PM,23,2016,8,Friday,Part One,ALGONQUIN ST,42.29779501,-71.07384157,"(42.29779501, -71.07384157)"
I162014308,00617,Larceny,LARCENY THEFT FROM BUILDING,C6,214,,02/20/2016 07:00:00 PM,19,2016,2,Saturday,Part One,W FOURTH ST,42.33553188,-71.04769502,"(42.33553188, -71.04769502)"
I162044231,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,634,,06/04/2016 05:00:00 PM,17,2016,6,Saturday,Part One,MORAINE ST,42.31973262,-71.11275984,"(42.31973262, -71.11275984)"
I162064923,00560,Other Burglary,BURGLARY - OTHER - FORCE,B2,281,,08/12/2016 12:00:00 PM,12,2016,8,Friday,Part One,DUDLEY ST,42.32853529,-71.08213874,"(42.32853529, -71.08213874)"
I162051942,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,687,,06/29/2016 10:40:00 PM,22,2016,6,Wednesday,Part One,COLBERG AVE,42.28575792,-71.14082892,"(42.28575792, -71.14082892)"
I162019493,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,254,,03/12/2016 08:34:00 PM,20,2016,3,Saturday,Other,FREEPORT ST,42.30468252,-71.05627865,"(42.30468252, -71.05627865)"
I162000408,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,316,,01/02/2016 12:15:00 AM,0,2016,1,Saturday,Part One,CRAWFORD ST,42.31359796,-71.09039946,"(42.31359796, -71.09039946)"
I162071474,00616,Larceny,LARCENY THEFT OF BICYCLE,C6,210,,08/06/2016 12:00:00 AM,0,2016,8,Saturday,Part One,D ST,42.34454105,-71.04416497,"(42.34454105, -71.04416497)"
I162028755,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,398,,04/13/2016 06:44:00 PM,18,2016,4,Wednesday,Part One,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I162002638,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,598,,01/10/2016 10:47:00 AM,10,2016,1,Sunday,Part One,BELVIDERE ST,42.34640287,-71.08668395,"(42.34640287, -71.08668395)"
I162002865,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,329,,01/11/2016 11:45:00 AM,11,2016,1,Monday,Part One,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)"
I162032357,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,464,,04/26/2016 12:12:00 PM,12,2016,4,Tuesday,Part One,BLUE HILL AVE,42.29171816,-71.08911807,"(42.29171816, -71.08911807)"
I162087007,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,,,10/23/2016 11:52:00 PM,23,2016,10,Sunday,Part One,,,,"(0E-8, 0E-8)"
I162007501,00619,Larceny,LARCENY ALL OTHERS,A1,93,,01/26/2016 03:30:00 PM,15,2016,1,Tuesday,Part One,CONGRESS ST,42.3588621,-71.05680967,"(42.3588621, -71.05680967)"
I162006581,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,275,,01/25/2016 12:48:00 PM,12,2016,1,Monday,Part One,HAMMOND ST,42.33503481,-71.08240248,"(42.33503481, -71.08240248)"
I162001668,00301,Robbery,ROBBERY - STREET,E18,485,,01/07/2016 12:12:00 AM,0,2016,1,Thursday,Part One,RIVER ST,42.26361661,-71.10332183,"(42.26361661, -71.10332183)"
I162026027,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,430,,04/04/2016 11:40:00 AM,11,2016,4,Monday,Other,BALSAM ST,42.28678038,-71.08807812,"(42.28678038, -71.08807812)"
I162066914,00619,Larceny,LARCENY ALL OTHERS,,,,08/15/2016 06:30:00 PM,18,2016,8,Monday,Part One,CHARLES,-1,-1,"(-1, -1)"
